id,fecha,cliente_id,producto_id,cantidad,descuento_pct,empleado_id,sucursal_id,forma_pago_id
1,2024-12-29,367,53,1,0.0,12,5,2
2,2024-04-03,173,54,2,0.0,1,1,4
3,2023-12-31,270,80,1,0.05,7,7,6
4,2024-02-09,254,37,1,0.0,18,4,5
5,2024-06-20,365,112,1,0.0,27,5,3
6,2023-08-06,305,35,1,0.0,17,6,3
7,2024-05-14,208,84,1,0.0,8,8,6
8,2023-05-27,171,92,2,0.0,28,8,3
9,2024-08-14,341,62,1,0.0,28,8,1
10,2024-09-10,363,26,1,0.05,29,7,5
11,2024-06-17,105,75,1,0.0,29,7,6
12,2024-01-17,150,71,2,0.1,19,3,4
13,2024-09-28,77,70,1,0.05,12,5,1
14,2024-05-23,59,53,1,0.0,7,7,5
15,2023-04-28,77,15,2,0.0,29,7,3
16,2023-01-10,290,84,2,0.0,4,4,2
17,2024-11-11,321,111,1,0.05,29,7,3
18,2024-07-29,166,29,1,0.0,15,1,4
19,2023-02-09,102,58,1,0.0,14,6,2
20,2024-06-10,258,37,1,0.0,7,7,2
21,2024-02-18,248,99,2,0.0,18,4,6
22,2024-04-10,165,49,1,0.0,24,4,1
23,2023-05-21,75,9,1,0.0,4,4,5
24,2023-12-27,43,93,1,0.0,24,4,2
25,2023-12-24,5,53,2,0.0,29,7,5
26,2023-07-07,78,16,1,0.0,20,4,2
27,2024-09-12,37,56,1,0.05,29,7,1
28,2023-04-17,325,118,2,0.0,8,8,6
29,2023-03-22,357,106,1,0.05,31,2,1
30,2024-10-03,93,118,1,0.0,23,6,6
31,2023-06-21,287,78,2,0.05,20,4,5
32,2023-12-19,90,4,1,0.0,7,7,5
33,2024-08-07,33,55,1,0.1,8,8,6
34,2023-01-07,85,27,1,0.05,11,2,6
35,2024-10-09,241,43,1,0.0,32,3,3
36,2024-04-28,276,63,1,0.0,17,6,3
37,2024-12-14,1,77,1,0.0,4,4,2
38,2024-02-01,226,77,2,0.1,12,5,5
39,2024-02-18,355,40,2,0.05,7,7,6
40,2024-05-16,117,60,1,0.0,1,1,5
41,2023-09-07,326,112,1,0.0,15,1,1
42,2024-10-16,313,77,1,0.0,9,4,4
43,2023-03-16,2,54,1,0.1,25,6,6
44,2024-12-20,355,65,1,0.1,12,5,3
45,2024-05-13,50,32,2,0.0,20,4,1
46,2024-07-22,26,22,1,0.0,29,7,5
47,2024-07-15,244,99,1,0.05,9,4,4
48,2024-07-04,104,115,2,0.0,25,6,2
49,2023-12-28,32,99,1,0.05,31,2,5
50,2023-07-25,23,75,1,0.0,27,5,4
51,2023-09-26,208,34,1,0.05,9,4,2
52,2024-09-27,20,63,1,0.0,7,7,3
53,2023-06-13,133,90,1,0.15,28,8,4
54,2024-09-16,89,45,2,0.0,6,6,1
55,2023-07-20,137,10,1,0.0,5,5,3
56,2024-10-12,223,38,1,0.0,17,6,5
57,2024-01-05,169,93,2,0.0,29,7,1
58,2024-04-30,40,113,2,0.0,6,6,2
59,2023-05-11,359,9,1,0.05,7,7,5
60,2023-02-27,280,40,1,0.1,16,8,2
61,2023-05-22,135,1,1,0.0,29,7,2
62,2023-11-26,65,51,1,0.0,14,6,6
63,2023-05-06,293,116,1,0.0,13,8,6
64,2024-03-06,227,48,1,0.0,17,6,4
65,2024-02-16,242,54,1,0.0,29,7,2
66,2023-06-04,113,99,2,0.0,18,4,6
67,2024-05-11,222,98,1,0.0,2,2,6
68,2024-03-21,377,18,2,0.05,9,4,1
69,2023-04-15,166,115,1,0.0,30,2,6
70,2024-04-05,101,26,1,0.0,31,2,1
71,2024-11-24,161,36,2,0.0,2,2,5
72,2024-08-19,384,71,1,0.0,15,1,1
73,2024-03-03,210,62,2,0.0,8,8,3
74,2023-11-09,50,1,1,0.0,9,4,3
75,2023-04-12,260,111,1,0.0,26,3,3
76,2023-03-13,45,73,2,0.15,9,4,3
77,2024-10-11,245,29,1,0.05,13,8,3
78,2023-12-03,63,49,1,0.0,25,6,3
79,2023-02-18,15,9,1,0.1,10,2,4
80,2024-03-17,146,46,1,0.0,19,3,5
81,2023-03-08,189,72,2,0.0,26,3,5
82,2024-02-21,399,59,1,0.05,17,6,1
83,2024-02-28,43,57,2,0.05,28,8,3
84,2024-05-17,26,15,1,0.0,21,3,2
85,2024-09-29,228,35,2,0.05,17,6,3
86,2024-10-09,288,74,1,0.0,15,1,2
87,2024-10-21,60,74,2,0.1,29,7,6
88,2024-08-30,95,80,2,0.0,15,1,6
89,2024-02-14,389,110,2,0.0,1,1,2
90,2024-01-01,42,80,3,0.0,9,4,5
91,2023-12-19,53,93,1,0.0,4,4,2
92,2023-11-11,353,30,1,0.0,24,4,3
93,2024-10-20,48,24,2,0.0,24,4,3
94,2024-04-24,131,50,3,0.0,15,1,3
95,2023-10-12,322,110,1,0.0,26,3,5
96,2024-03-15,109,24,2,0.0,25,6,5
97,2023-03-20,150,35,1,0.0,1,1,4
98,2024-01-29,391,87,1,0.0,24,4,5
99,2024-04-01,315,119,2,0.0,32,3,1
100,2023-05-27,281,84,2,0.05,17,6,2
101,2023-04-26,150,23,1,0.0,15,1,5
102,2024-06-29,370,103,1,0.1,21,3,2
103,2024-07-25,354,54,1,0.1,2,2,3
104,2024-03-02,58,67,1,0.0,17,6,3
105,2024-03-24,78,91,1,0.05,27,5,1
106,2024-07-17,351,31,1,0.0,23,6,3
107,2023-12-15,152,11,3,0.05,23,6,1
108,2023-12-07,322,48,1,0.0,15,1,1
109,2023-12-26,121,22,1,0.0,23,6,5
110,2023-02-20,78,26,1,0.0,17,6,2
111,2024-07-13,128,60,1,0.0,25,6,2
112,2024-01-11,389,12,1,0.0,14,6,6
113,2024-02-06,50,100,1,0.0,11,2,3
114,2024-10-15,116,74,1,0.0,27,5,3
115,2024-09-25,313,112,2,0.0,5,5,3
116,2023-10-02,128,29,2,0.0,24,4,1
117,2023-10-09,45,75,2,0.0,7,7,5
118,2024-06-05,28,76,1,0.1,7,7,6
119,2024-01-01,13,24,1,0.0,5,5,5
120,2023-09-01,232,32,1,0.0,11,2,4
121,2023-02-25,392,88,1,0.05,21,3,3
122,2023-05-15,82,75,1,0.0,19,3,5
123,2023-09-25,127,4,1,0.0,25,6,3
124,2023-03-06,117,51,1,0.0,24,4,3
125,2024-04-18,374,113,1,0.0,25,6,5
126,2024-09-13,369,70,1,0.0,15,1,3
127,2024-03-26,221,76,1,0.0,14,6,6
128,2023-10-04,327,6,1,0.0,20,4,2
129,2024-04-27,267,106,1,0.0,1,1,1
130,2023-07-21,236,43,2,0.05,5,5,3
131,2023-01-24,371,64,1,0.0,15,1,3
132,2024-02-10,153,37,1,0.1,14,6,1
133,2023-04-24,287,85,1,0.0,28,8,2
134,2024-11-20,373,13,1,0.05,16,8,3
135,2023-05-09,61,94,1,0.0,7,7,1
136,2023-12-17,207,79,1,0.0,11,2,5
137,2023-06-03,134,3,1,0.0,19,3,3
138,2023-06-07,281,40,1,0.0,28,8,1
139,2024-10-28,45,93,1,0.1,8,8,3
140,2023-04-13,210,47,1,0.0,22,5,4
141,2023-09-08,370,117,1,0.05,21,3,2
142,2024-12-06,279,70,1,0.0,16,8,1
143,2024-09-10,331,4,1,0.05,16,8,4
144,2023-10-19,16,67,1,0.0,32,3,4
145,2024-07-16,396,79,1,0.0,8,8,4
146,2024-03-04,70,49,1,0.05,21,3,6
147,2023-11-17,393,16,2,0.0,18,4,1
148,2023-07-14,162,4,1,0.1,25,6,3
149,2024-11-19,18,18,1,0.05,28,8,3
150,2023-06-16,346,68,1,0.0,30,2,5
151,2024-07-27,374,73,2,0.0,4,4,2
152,2023-02-21,184,58,1,0.0,28,8,4
153,2023-02-11,228,5,1,0.0,10,2,5
154,2023-10-17,192,106,3,0.0,27,5,6
155,2023-06-17,65,120,1,0.0,2,2,3
156,2024-10-24,342,34,1,0.1,2,2,3
157,2023-03-05,216,44,2,0.1,19,3,5
158,2024-09-29,364,87,2,0.05,8,8,3
