sucursal_id,producto_id,fecha,stock
1,14,2023-01-01,114
1,69,2023-01-01,120
1,55,2023-01-01,83
1,22,2023-01-01,115
1,68,2023-01-01,119
1,2,2023-01-01,90
1,54,2023-01-01,88
1,99,2023-01-01,81
1,42,2023-01-01,106
1,100,2023-01-01,71
1,58,2023-01-01,79
1,101,2023-01-01,76
1,67,2023-01-01,96
1,46,2023-01-01,70
1,17,2023-01-01,69
1,44,2023-01-01,119
1,70,2023-01-01,123
1,117,2023-01-01,63
1,104,2023-01-01,81
1,109,2023-01-01,78
1,62,2023-01-01,77
1,32,2023-01-01,74
1,34,2023-01-01,35
1,120,2023-01-01,78
1,80,2023-01-01,36
1,89,2023-01-01,86
1,7,2023-01-01,49
1,114,2023-01-01,75
1,66,2023-01-01,84
1,33,2023-01-01,92
1,49,2023-01-01,100
1,26,2023-01-01,129
1,103,2023-01-01,93
1,15,2023-01-01,97
1,56,2023-01-01,64
1,98,2023-01-01,113
1,4,2023-01-01,80
1,43,2023-01-01,79
1,81,2023-01-01,20
1,95,2023-01-01,94
1,59,2023-01-01,123
1,119,2023-01-01,71
1,118,2023-01-01,64
1,92,2023-01-01,46
1,3,2023-01-01,114
1,113,2023-01-01,58
1,75,2023-01-01,54
1,38,2023-01-01,92
1,48,2023-01-01,126
1,47,2023-01-01,100
1,24,2023-01-01,108
1,27,2023-01-01,87
1,23,2023-01-01,53
1,85,2023-01-01,124
1,28,2023-01-01,32
1,21,2023-01-01,58
1,40,2023-01-01,110
1,52,2023-01-01,52
1,79,2023-01-01,53
1,31,2023-01-01,79
1,14,2023-01-31,100
1,69,2023-01-31,62
1,55,2023-01-31,63
1,22,2023-01-31,101
1,68,2023-01-31,98
1,2,2023-01-31,75
1,54,2023-01-31,72
1,99,2023-01-31,82
1,42,2023-01-31,57
1,100,2023-01-31,67
1,58,2023-01-31,68
1,101,2023-01-31,83
1,67,2023-01-31,51
1,46,2023-01-31,96
1,17,2023-01-31,89
1,44,2023-01-31,77
1,70,2023-01-31,68
1,117,2023-01-31,53
1,104,2023-01-31,60
1,109,2023-01-31,106
1,62,2023-01-31,100
1,32,2023-01-31,40
1,34,2023-01-31,80
1,120,2023-01-31,56
1,80,2023-01-31,73
1,89,2023-01-31,69
1,7,2023-01-31,101
1,114,2023-01-31,86
1,66,2023-01-31,121
1,33,2023-01-31,79
1,49,2023-01-31,103
1,26,2023-01-31,80
1,103,2023-01-31,101
1,15,2023-01-31,104
1,56,2023-01-31,48
1,98,2023-01-31,73
1,4,2023-01-31,54
1,43,2023-01-31,85
1,81,2023-01-31,67
1,95,2023-01-31,116
1,59,2023-01-31,77
1,119,2023-01-31,16
1,118,2023-01-31,86
1,92,2023-01-31,76
1,3,2023-01-31,48
1,113,2023-01-31,105
1,75,2023-01-31,108
1,38,2023-01-31,86
1,48,2023-01-31,93
1,47,2023-01-31,89
1,24,2023-01-31,92
1,27,2023-01-31,62
1,23,2023-01-31,62
1,85,2023-01-31,72
1,28,2023-01-31,56
1,21,2023-01-31,62
1,40,2023-01-31,63
1,52,2023-01-31,33
1,79,2023-01-31,123
1,31,2023-01-31,77
1,14,2023-03-02,94
1,69,2023-03-02,42
1,55,2023-03-02,125
1,22,2023-03-02,56
1,68,2023-03-02,72
1,2,2023-03-02,93
1,54,2023-03-02,26
1,99,2023-03-02,60
1,42,2023-03-02,83
1,100,2023-03-02,45
1,58,2023-03-02,61
1,101,2023-03-02,57
1,67,2023-03-02,74
1,46,2023-03-02,42
1,17,2023-03-02,85
1,44,2023-03-02,89
1,70,2023-03-02,74
1,117,2023-03-02,102
1,104,2023-03-02,87
1,109,2023-03-02,86
1,62,2023-03-02,75
1,32,2023-03-02,73
1,34,2023-03-02,94
1,120,2023-03-02,79
1,80,2023-03-02,115
1,89,2023-03-02,59
1,7,2023-03-02,119
1,114,2023-03-02,69
1,66,2023-03-02,85
1,33,2023-03-02,96
1,49,2023-03-02,40
1,26,2023-03-02,118
1,103,2023-03-02,48
1,15,2023-03-02,110
1,56,2023-03-02,86
1,98,2023-03-02,88
1,4,2023-03-02,82
1,43,2023-03-02,51
1,81,2023-03-02,65
1,95,2023-03-02,46
1,59,2023-03-02,128
1,119,2023-03-02,84
1,118,2023-03-02,59
1,92,2023-03-02,30
1,3,2023-03-02,51
1,113,2023-03-02,81
1,75,2023-03-02,32
1,38,2023-03-02,107
1,48,2023-03-02,95
1,47,2023-03-02,79
1,24,2023-03-02,57
1,27,2023-03-02,68
1,23,2023-03-02,91
1,85,2023-03-02,63
1,28,2023-03-02,46
1,21,2023-03-02,70
1,40,2023-03-02,139
1,52,2023-03-02,113
1,79,2023-03-02,93
1,31,2023-03-02,128
1,14,2023-04-01,28
1,69,2023-04-01,113
1,55,2023-04-01,80
1,22,2023-04-01,92
1,68,2023-04-01,47
1,2,2023-04-01,89
1,54,2023-04-01,138
1,99,2023-04-01,84
1,42,2023-04-01,91
1,100,2023-04-01,104
1,58,2023-04-01,89
1,101,2023-04-01,76
1,67,2023-04-01,49
1,46,2023-04-01,90
1,17,2023-04-01,82
1,44,2023-04-01,98
1,70,2023-04-01,103
